state,date,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
New York,2025-12-23,-2.5458333333333334,-4.5,-1.3,10.991666666666667,6.1,17.3,79.08333333333333,60,95
New York,2025-12-24,-1.76875,-6.3,1.0,20.181250000000002,9.2,29.9,86.625,73,96
New York,2025-12-25,-3.7875,-8.1,1.0,13.208333333333334,1.8,25.6,79.375,60,89
North Carolina,2025-12-22,4.3875,-1.2,10.2,9.15,5.5,13.0,38.458333333333336,23,54
North Carolina,2025-12-23,8.566666666666666,3.7,17.5,13.966666666666667,9.4,19.6,48.791666666666664,41,67
North Carolina,2025-12-24,13.752083333333333,8.9,21.1,10.991666666666667,0.9,17.8,69.625,37,87
North Carolina,2025-12-25,14.295833333333334,9.9,22.0,11.858333333333334,7.1,16.1,67.95833333333333,55,87
North Dakota,2025-12-22,-4.858333333333333,-8.1,-1.7,9.4375,0.7,18.0,86.54166666666667,75,92
North Dakota,2025-12-23,-9.945833333333333,-15.4,-0.1,13.775,1.9,26.6,80.54166666666667,71,91
North Dakota,2025-12-24,-7.629166666666666,-10.7,-6.1,11.0375,1.1,18.0,85.9375,83,92
North Dakota,2025-12-25,-8.554166666666667,-13.4,0.6,15.320833333333333,5.4,22.1,87.04166666666667,83,92
Ohio,2025-12-22,-2.620833333333333,-6.9,2.2,9.174999999999999,0.9,20.1,66.66666666666667,42,85
Ohio,2025-12-23,5.645833333333333,1.5,10.7,18.204166666666666,14.2,25.0,80.41666666666667,41,99
Ohio,2025-12-24,2.8645833333333335,-1.1,7.2,10.225,4.8,13.4,88.5,64,99
Ohio,2025-12-25,4.5,1.3,7.9,10.904166666666667,1.4,16.4,78.75,57,97
Oklahoma,2025-12-22,13.5375,9.1,21.3,18.758333333333333,10.0,26.7,59.833333333333336,48,79
Oklahoma,2025-12-23,17.941666666666666,14.1,24.4,22.458333333333332,14.1,27.2,80.20833333333333,58,96
Oklahoma,2025-12-24,19.116666666666667,15.2,24.4,21.504166666666666,12.4,29.5,78.9375,60,92
Oklahoma,2025-12-25,19.6125,15.2,24.5,22.3125,18.4,25.3,75.70833333333333,56,92
Oregon,2025-12-22,1.2916666666666667,0.3,3.5,10.029166666666667,4.1,15.9,96.54166666666667,93,100
Oregon,2025-12-23,0.8166666666666665,-2.1,4.8,8.799999999999999,1.6,15.0,86.54166666666667,58,98
Oregon,2025-12-24,2.4520833333333334,0.6,5.5,13.910416666666668,4.4,22.2,93.5625,79,100
Oregon,2025-12-25,2.2708333333333335,-1.1,6.9,12.120833333333332,3.1,19.3,87.41666666666667,60,99
Pennsylvania,2025-12-22,-2.220833333333333,-5.9,4.2,7.720833333333334,1.6,14.8,56.291666666666664,36,74
Pennsylvania,2025-12-23,0.9,-0.2,2.7,5.358333333333333,2.7,10.7,76.41666666666667,56,93
Pennsylvania,2025-12-24,4.297916666666667,0.4,7.8,15.577083333333334,3.1,24.6,73.60416666666667,39,97
Pennsylvania,2025-12-25,2.3333333333333335,-1.9,9.9,7.033333333333334,0.7,17.0,64.45833333333333,36,84
Rhode Island,2025-12-22,-1.6708333333333334,-4.3,1.1,16.554166666666667,8.2,21.8,49.833333333333336,35,61
Rhode Island,2025-12-23,0.4041666666666666,-1.9,3.2,10.841666666666667,5.6,16.6,73.20833333333333,55,99
Rhode Island,2025-12-24,2.4499999999999997,-1.6,4.8,18.216666666666665,1.2,33.2,78.64583333333333,51,100
Rhode Island,2025-12-25,-0.9166666666666666,-3.8,4.2,13.320833333333333,4.4,23.2,74.41666666666667,55,84
South Carolina,2025-12-22,8.845833333333333,3.2,14.2,11.066666666666668,8.7,16.3,31.875,20,43
South Carolina,2025-12-23,9.570833333333333,3.5,19.4,8.545833333333333,1.3,15.2,57.791666666666664,45,71
South Carolina,2025-12-24,15.941666666666668,10.6,24.1,9.78125,0.6,15.9,72.5625,48,90
South Carolina,2025-12-25,16.4875,11.6,24.2,8.904166666666667,0.4,15.1,77.91666666666667,53,94
South Dakota,2025-12-22,2.6458333333333335,-1.6,7.9,12.15,4.1,20.1,63.291666666666664,47,79
South Dakota,2025-12-23,1.2166666666666666,-1.5,3.4,15.1875,7.0,21.7,79.08333333333333,57,93
South Dakota,2025-12-24,2.0375,-0.6,6.4,16.514583333333334,0.7,27.9,82.625,64,91
South Dakota,2025-12-25,0.8125,-2.2,8.2,22.34166666666667,8.7,32.4,92.58333333333333,67,100
Tennessee,2025-12-22,7.729166666666667,2.5,14.7,15.9375,7.5,25.0,41.208333333333336,30,47
Tennessee,2025-12-23,14.920833333333334,12.7,20.5,21.95,14.3,29.8,59.916666666666664,41,87
Tennessee,2025-12-24,17.052083333333332,14.4,23.1,10.702083333333334,5.8,16.5,90.22916666666667,62,99
Tennessee,2025-12-25,16.974999999999998,13.7,20.6,13.854166666666666,9.5,15.9,86.83333333333333,71,99
Texas,2025-12-22,14.416666666666666,8.9,24.0,6.9125000000000005,1.4,20.6,85.20833333333333,63,97
Texas,2025-12-23,20.95,18.2,26.2,13.041666666666666,7.4,19.0,84.75,53,99
Texas,2025-12-24,20.435416666666665,16.9,25.7,10.668750000000001,5.7,15.9,81.375,50,100
Texas,2025-12-25,19.8875,16.2,26.4,11.245833333333332,6.4,17.2,76.08333333333333,51,95
Utah,2025-12-22,9.666666666666666,4.0,18.0,8.924999999999999,5.1,21.9,57.625,25,76
Utah,2025-12-23,6.5125,2.5,13.4,4.2250000000000005,1.0,9.2,61.0,32,76
Utah,2025-12-24,7.958333333333333,2.0,16.2,6.085416666666667,1.7,17.5,60.125,35,82
Utah,2025-12-25,9.65,5.1,15.3,7.329166666666667,3.2,15.6,68.83333333333333,32,90
Vermont,2025-12-22,-11.270833333333334,-14.6,-6.5,13.924999999999999,5.3,21.4,74.08333333333333,56,82
Vermont,2025-12-23,-6.0125,-9.8,-1.1,8.9125,4.7,13.6,84.54166666666667,62,94
Vermont,2025-12-24,-6.039583333333333,-9.9,-2.1,12.810416666666667,4.9,20.7,91.91666666666667,86,97
Vermont,2025-12-25,-9.200000000000001,-14.8,-4.6,13.333333333333334,4.3,26.4,85.66666666666667,79,91
Virginia,2025-12-22,2.2125,-4.7,8.9,6.383333333333333,0.6,11.9,42.833333333333336,25,73
Virginia,2025-12-23,7.608333333333333,3.2,15.2,13.704166666666666,7.2,18.0,51.916666666666664,40,78
Virginia,2025-12-24,11.654166666666667,7.3,18.2,11.206249999999999,3.3,17.4,62.333333333333336,17,92
Virginia,2025-12-25,8.804166666666667,3.0,18.0,9.041666666666666,0.6,19.7,58.458333333333336,36,85
Washington,2025-12-22,1.3,-1.6,4.5,7.945833333333333,1.0,16.3,89.125,61,100
Washington,2025-12-23,0.6958333333333333,-4.7,4.0,8.866666666666667,2.4,18.2,87.0,66,98
Washington,2025-12-24,3.9104166666666664,2.4,7.0,18.297916666666666,0.6,28.1,82.39583333333333,72,94
Washington,2025-12-25,2.25,-1.1,5.1,11.35,2.4,18.4,84.54166666666667,69,99
West Virginia,2025-12-22,0.29166666666666663,-5.2,6.7,5.958333333333333,0.8,15.1,48.458333333333336,19,83
West Virginia,2025-12-23,8.6,4.6,13.4,18.233333333333334,13.4,22.3,69.91666666666667,29,96
West Virginia,2025-12-24,10.295833333333333,6.7,13.5,8.135416666666666,1.5,14.9,82.02083333333333,41,100
West Virginia,2025-12-25,10.5,6.2,12.7,11.341666666666667,4.4,18.1,80.54166666666667,46,100
Wisconsin,2025-12-22,-2.966666666666667,-8.4,0.9,14.145833333333334,9.1,19.0,77.29166666666667,70,83
Wisconsin,2025-12-23,-0.2583333333333333,-3.1,2.3,12.0375,6.2,17.9,86.04166666666667,78,91
Wisconsin,2025-12-24,-2.872916666666667,-6.9,1.5,10.30625,5.1,15.2,87.70833333333333,84,91
Wisconsin,2025-12-25,-1.8958333333333333,-5.4,1.4,13.049999999999999,1.0,20.1,90.20833333333333,87,93
Wyoming,2025-12-22,4.229166666666667,2.0,7.7,32.324999999999996,26.6,37.0,59.75,44,68
Wyoming,2025-12-23,2.6625,-0.5,6.2,17.620833333333334,7.7,28.1,56.791666666666664,45,74
Wyoming,2025-12-24,4.195833333333334,2.5,7.7,26.489583333333332,15.9,35.0,50.875,44,61
Wyoming,2025-12-25,4.733333333333333,3.2,5.5,35.475,24.9,43.9,72.33333333333333,61,86
